term_id,term_str,n,stop
598,smite,127,0
599,incense,127,0
600,service,126,0
601,sing,126,0
602,looked,126,0
603,country,126,0
604,sinned,125,0
605,fat,125,0
606,entered,125,0
607,clean,125,0
608,kill,124,0
609,presence,124,0
610,believe,124,0
611,must,124,0
612,whither,123,0
613,assyria,123,0
614,numbered,123,0
615,rock,123,0
616,flock,123,0
617,spread,122,0
618,samaria,122,0
619,ear,122,0
620,open,121,0
621,tongue,121,0
622,perish,121,0
623,wives,121,0
624,husband,120,0
625,knoweth,120,0
626,wood,120,0
627,coming,120,0
628,sinoffering,120,0
629,seventh,120,0
630,firstborn,119,0
631,wrought,119,0
632,names,119,0
633,jonathan,119,0
634,lips,118,0
635,captain,117,0
636,sit,117,0
637,beloved,117,0
638,leave,117,0
639,followed,117,0
640,myself,116,1
641,justice,116,0
642,get,116,0
643,captivity,116,0
644,offering,115,0
645,mercy,115,0
646,dust,114,0
647,eye,114,0
648,chariots,114,0
649,charge,114,0
650,offered,113,0
651,ask,113,0
652,tribes,113,0
653,horses,113,0
654,walked,113,0
655,desire,113,0
656,ordinances,112,0
657,possession,112,0
658,cloud,111,0
659,encamped,111,0
660,suburbs,111,0
661,desolate,110,0
662,slay,110,0
663,anything,110,0
664,neighbor,110,0
665,beyond,110,0
666,shut,109,0
667,hid,109,0
668,depart,109,0
669,doeth,108,0
670,woe,108,0
671,saved,108,0
672,oblation,108,0
673,ready,107,0
674,nigh,107,0
675,chosen,107,0
676,jehovahs,107,0
677,ones,107,0
678,bound,107,0
679,sweet,106,0
680,pillars,106,0
681,command,106,0
682,lot,106,0
683,better,106,0
684,sister,106,0
685,mans,106,0
686,believed,105,0
687,going,104,0
688,gentiles,104,0
689,absalom,104,0
690,buried,104,0
691,alone,104,0
692,flee,103,0
693,captains,103,0
694,worship,103,0
695,anointed,103,0
696,still,102,0
697,plague,102,0
698,grain,102,0
699,present,102,0
700,oxen,102,0
701,jeroboam,102,0
702,hour,102,0
703,prayer,102,0
704,teach,102,0
705,mind,101,0
706,thanks,101,0
707,bow,101,0
708,minister,101,0
709,famine,101,0
710,curse,101,0
711,ammon,101,0
712,master,101,0
713,utterly,100,0
714,generation,100,0
715,spoil,100,0
716,favor,100,0
717,mayest,100,0
718,elijah,100,0
719,oh,99,0
720,ram,99,0
721,linen,99,0
722,pure,99,0
723,beginning,99,0
724,reason,99,0
725,enemy,99,0
726,hearkened,99,0
727,idols,98,0
728,gilead,98,0
729,stead,98,0
730,rain,98,0
731,raised,98,0
732,half,98,0
733,lift,98,0
734,perfect,98,0
735,possess,98,0
736,bullock,98,0
737,iron,98,0
738,showed,98,0
739,foot,97,0
740,fight,97,0
741,eaten,97,0
742,egyptians,97,0
743,besides,96,0
744,aside,96,0
745,sore,96,0
746,caused,95,0
747,fallen,95,0
748,abide,94,0
749,bones,94,0
750,vain,94,0
751,destruction,94,0
752,image,94,0
753,gospel,94,0
754,alive,94,0
755,waste,93,0
756,covered,93,0
757,edom,93,0
758,birds,93,0
759,ahab,93,0
760,drew,92,0
761,canaan,92,0
762,angels,92,0
763,write,91,0
764,fast,91,0
765,burned,91,0
766,hearts,91,0
767,prophesy,90,0
768,indeed,90,0
769,small,90,0
770,parts,90,0
771,sick,90,0
772,knowest,90,0
773,glad,90,0
774,poured,89,0
775,carry,89,0
